SMILES,qm_total_energy_monomer,qm_homo_monomer,qm_lumo_monomer,qm_dipole_monomer,qm_dipole_x_monomer,qm_dipole_y_monomer,qm_dipole_z_monomer,qm_polarizability_monomer,qm_polarizability_xx_monomer,qm_polarizability_yy_monomer,qm_polarizability_zz_monomer,qm_polarizability_xy_monomer,qm_polarizability_xz_monomer,qm_polarizability_yz_monomer
*CC*,-209676.7175,-12.03727174,3.128816904,8.94E-06,5.71E-06,-5.86E-06,-3.60E-06,3.98452078,4.240287656,3.85486087,3.858413814,0.028186415,0.046851791,0.00339043
*C(C*)C,-312948.9242,-11.57686478,3.039961247,0.077277932,0.003980157,0.03228246,0.070099072,5.780307663,6.281963377,5.43592143,5.623038182,0.034819083,-0.050906534,0.105223791
*C(C*)CC,-416219.2389,-11.42390789,2.987134632,0.081852316,-0.003191809,-0.046589958,-0.067223432,7.514826425,8.191657489,7.119033935,7.23378785,-0.092424322,0.024052055,0.163036415
*C(C*)CCC,-519493.419,-11.22720085,3.05291719,0.075347424,0.003630084,-0.06310736,-0.041006315,9.363665661,10.88365819,8.726422459,8.480916329,0.13990655,-0.038720467,0.263216113
*C(C*)C(C)C,-519497.3697,-11.17103386,2.957730423,0.085636418,0.032326956,0.077242336,0.01794953,9.332767196,10.24870556,8.73827796,9.011318067,-0.005895416,0.042990603,-0.4264229
*C(C*)CCCC,-622765.6684,-11.03805724,3.044147826,9.62E-06,-9.96E-07,3.65E-06,8.85E-06,11.17156995,13.3349649,10.41764136,9.762103593,-0.060537393,-0.006608978,-0.089809965
*C(C*)CC(C)C,-622769.5039,-11.040807,2.980871171,0.120196333,0.014487579,-0.085766301,0.082954265,11.14090557,12.67569197,9.962272335,10.78475242,-0.049446034,0.131494535,0.266386432
*C(C*)CCCCC,-726037.9274,-10.89562794,3.031210522,0.075433639,0.004178076,-0.05709971,0.049116196,12.98706314,15.73473777,11.66521925,11.56123241,0.020856782,-0.290917561,-0.421335835
*C(C*)CCC(CC)C,-829311.4351,-10.88337466,2.902049194,0.072620261,0.047761312,0.023921897,-0.049196567,14.61889785,16.38455231,14.31053151,13.16160973,0.572858457,0.181536637,-0.385569402
*C(C*)CCCCCCC,-932582.4614,-10.69582593,3.01501621,0.075071027,0.000596297,0.013208104,0.073897561,16.64331822,20.75361706,14.0716454,15.1046922,0.120856068,-0.066613646,0.189813505
*C(C*)CCCCCCCC,-1035852.648,-10.67351767,2.891930425,0.090293716,0.036665008,-0.035125781,0.074664663,18.30198242,21.99766057,16.40446768,16.503819,0.091019175,0.483234801,0.236945047
*C(C*)(C)C,-416226.9463,-11.40601653,2.905709576,0.118686365,-0.000634905,0.005355819,-0.11856376,7.598014255,7.902065418,7.900281056,6.991696291,0.000191041,-0.004818621,0.040979167
*C(C*)(CC)C,-519497.3694,-11.17085461,2.957699323,0.085639074,0.04457621,-0.040734597,-0.060726479,9.332820439,10.20376884,9.311291525,8.483400952,0.185810708,0.166449181,-0.171051268
*C(CC*)(C)C,-519497.3687,-11.17067383,2.957662603,0.085645013,0.045841605,0.004523814,0.072202152,9.332962694,10.19763348,9.229734914,8.57151969,-0.02065455,-0.284700617,0.285025874
*C(C(C*)C)(C)C,-622770.445,-10.94746274,2.832976434,0.1206117,0.00471153,0.014187497,-0.119681655,11.01005941,11.75855638,10.93786396,10.33375789,-0.207813225,0.031793388,0.064479859
*C(CCC*)(C)C,-622769.5043,-11.04139144,2.980824468,0.120230996,-0.001664641,0.009178071,0.119868613,11.14084181,12.5904337,10.71332808,10.11876366,-0.063557834,0.49392169,0.339243105
*C(CCC*)(CC)C,-726039.1248,-10.87742582,3.022454836,0.075039687,-0.020152928,0.033662758,0.063965872,12.88196527,14.39878029,12.92969954,11.31741597,-0.000312923,-0.072095954,-0.20747963
*C(CCCCCCC*)C,-932580.6487,-10.7869671,3.035723667,0.052986765,0.023577483,0.023439621,-0.041258741,16.59892057,20.26733746,15.17118783,14.3582364,0.024895498,-0.226140856,-0.307698492
*C(C*)C1CC1,-516239.6675,-10.20816963,3.110868393,0.100486652,0.074938678,0.002434684,0.066901675,8.781908344,9.856708013,8.245282661,8.243734358,-0.112568885,-0.387028955,-0.309985968
*C(C*)C1CCC1,-619521.8014,-10.59217148,2.964684146,0.055803616,0.004455125,0.030055175,0.046806857,10.41857892,11.64242032,9.492695247,10.1206212,-0.017477756,0.147511534,-0.177695439
*C(C*)C1CCCC1,-722875.1024,-10.98031084,2.879741566,0.056456307,0.001858492,-0.032470461,-0.046146828,12.12214028,13.7619199,10.79397975,11.81052118,0.347266145,0.121608996,-0.2958803
*C(C*)CC1CCCC1,-826147.3046,-10.87443059,2.894875167,0.09598883,-0.023823224,0.0928819,-0.004388878,13.95759572,16.38213379,12.61655382,12.87409954,0.33234155,0.306174959,0.656215469
*C(C*)C1CCCCC1,-826173.1937,-10.47970418,2.991377208,0.045935317,-0.030729295,-0.013764777,0.031245714,13.87729998,15.74435425,13.57047544,12.31707026,0.059341565,-0.248103433,0.388685996
*C(C*)CC1CCCCC1,-929445.4217,-10.40967116,3.01337447,0.106253568,-0.067500554,-0.063281434,-0.052239409,15.72201876,18.24038617,13.64457926,15.28109083,0.390679167,-0.770190964,-0.17819585
*C(C*)Cc1ccccc1,-919925.1363,-9.024137276,1.920584032,0.2964109,0.283490384,-0.069931529,0.051011813,15.46323703,18.13121238,12.7500763,15.5084224,-2.2120792,-0.766555363,-1.056927616
*C(C*)CCc1ccccc1,-1023197.598,-9.012433023,1.926149647,0.235269975,0.224355886,-0.069456452,-0.013863591,17.27577755,20.06827099,15.51261476,16.2464469,-2.028098769,0.663099191,1.428597534
*C(C*)C(c1ccccc1)C,-1023201.749,-9.030381601,1.92053854,0.241443924,-0.236506036,-0.033547278,-0.03513749,17.25139948,20.41733828,16.28769044,15.04916972,1.292190808,1.185728954,-1.2107002
*C1CC(CC1)C*,-619602.9306,-11.05953699,2.858903677,0.084773416,-0.013534391,0.009896115,-0.083098852,10.36924775,11.48436509,10.3148965,9.308481669,0.040491656,-0.120644743,0.270873096
*C(C*)CCCCCC,-829310.1934,-10.78481242,3.022469688,2.14E-05,-4.21E-06,2.07E-05,-3.14E-06,14.81317776,18.22929533,12.78887434,13.42136362,0.429331658,0.162997519,-0.331799967
*C(C*)CCCCCCCCCC,-1242396.019,-10.74220376,2.989454788,0.061630874,-0.050278047,-0.033186239,-0.013006005,21.94388232,25.1362421,21.90126324,18.79414162,0.319914996,0.539384363,0.67856999
*C(C*)CCCCCCCCCCCC,-1448940.64,-10.64667391,3.003878324,0.081181492,-0.034991471,-0.019655588,0.070566914,25.63231291,30.09550002,24.36507021,22.4363685,0.481662951,-0.152729171,-0.036564904
*C(C*)CCCCCCCCCCCCCCCC,-1862027.889,-10.56847196,2.858209728,0.011983441,-0.000207204,-0.011125046,-0.004448966,32.65962972,37.73218114,32.31110254,27.9356055,-0.910097365,-0.242000785,0.267563584
*C(C*)C(CC)C,-622765.2795,-10.95058173,2.914489947,0.08370084,0.002839678,-0.016080647,0.082092506,11.00445912,12.20471047,10.69765382,10.11101308,-0.117495159,-0.140265541,-0.161263389
*C(C*)C(CC)CC,-726036.4479,-10.83085124,2.949592997,0.044608297,0.030447815,-0.01354195,-0.02965546,12.7287935,13.47599185,13.12339204,11.58699661,-0.452881867,0.323466948,0.372324235
*C(C*)CC(CC)CC,-829310.636,-10.85325263,2.806928786,0.115894068,-0.094449207,0.012530228,0.065983148,14.52007734,15.20894851,15.39669152,12.954592,0.029379609,-0.290851557,0.059071945
*C(C*)CC(CC)C,-726038.9216,-10.92706754,3.03754063,0.11560407,-0.009364809,-0.115179618,0.003202672,12.90350849,14.7764101,12.40736988,11.5267455,-0.468883045,0.149705727,0.504942633
*C(C*)CC(C)(C)C,-726048.4448,-10.90844877,2.817927377,0.074183107,0.021283636,-0.070497046,0.008961398,12.88206451,14.15829446,12.28027377,12.20762529,-0.183356548,0.488489853,-0.053629109
*C(C*)CC(CC)(C)C,-829318.8718,-10.8381409,2.831940007,0.10065534,-0.011754779,-0.025556781,-0.096644573,14.54155824,15.4838909,14.57518582,13.565598,-0.421269994,-0.134582656,0.230161312
*C(C*)CCCC(C)(C)C,-932593.2872,-10.70525073,2.821893562,0.073623811,0.037023445,0.049713666,0.03972759,16.51690966,19.30153119,15.15322509,15.09597269,0.159902318,-0.211293539,0.206630651
*C(C*)CCC1CCCCC1,-1032715.425,-10.36676494,3.002310284,0.0795381,-0.021792523,-0.058937241,-0.048762658,17.47656925,20.62857288,15.4030289,16.39810597,0.365386489,-0.353324017,0.62190035
*C(C*)CCCC1CCCCC1,-1135982.489,-10.39604157,2.853892377,0.049224001,-0.025312864,-0.021576746,0.036286433,19.12170577,22.1596734,17.83439771,17.37104619,0.252887838,-0.22445288,0.350814656
*C1(CCC(CC1)C)C*,-826170.2485,-10.43786103,2.708137997,3.96E-05,1.58E-05,3.30E-05,1.52E-05,13.65436552,14.94314249,13.35958284,12.66037125,-0.125909317,-0.140215434,-0.358926603
*C(C*)(CCC)C,-622769.5037,-11.04074946,2.980858382,0.120163702,0.029218775,0.096841965,-0.064863026,11.14093319,12.5708854,10.66451775,10.18739641,0.044692312,0.514032575,0.412528833
*/C=C/CC*,-412984.8575,-9.656460668,2.613247763,0.339050591,-0.329775868,-0.075327507,0.022998842,7.58495599,9.578372538,6.452867701,6.723627732,0.132497471,-0.390281443,0.182514874
*/C=C\CC*,-412984.8574,-9.65647625,2.613231109,0.339027275,-0.319596107,0.04509893,0.103749256,7.584943888,9.393037293,6.925003288,6.436791084,-0.685129234,-0.469740472,-0.012898302
*C=CCC*,-412984.8577,-9.656395717,2.613252494,0.33903121,-0.329524066,-0.07201114,0.034211794,7.584922092,9.38278804,6.393494716,6.978483519,0.332734254,-0.738982749,-0.186965657
*C(C)C(C)*,-416219.2389,-11.42399323,2.987095842,0.081849546,0.000872077,-0.067925581,-0.04565855,7.514847273,8.197475947,7.238979255,7.108086618,-0.020135478,0.046197181,0.161916384
*/C=C/*,-206429.4673,-10.1980853,2.538665003,3.97E-06,-1.78E-06,-2.24E-07,-3.54E-06,3.85009683,5.015778406,3.371188181,3.163323904,-0.016823425,-0.657265275,0.064112922
*C(C(CC*)C)C,-622767.2166,-11.01570858,2.957440393,0.081528652,0.007931506,0.080854774,-0.006820388,11.08163081,12.48954343,10.62853903,10.12680997,-0.159405457,-0.515542012,0.33074759
*C1C(CCC1)CC*,-722869.6067,-10.86452736,2.841063534,0.102896246,0.014414966,-0.10148074,-0.009028048,12.02794225,13.30716076,11.159458,11.61720798,-0.486697082,0.023484208,0.139980005
*C=CCCCCCCCC*,-1032616.68,-9.602378359,2.803796391,0.425389303,-0.32157598,-0.185456475,0.207727812,18.2226006,22.1292987,16.88458937,15.65391373,0.535811984,-0.770815939,-1.227291485
*C(C*)CCCCCCCCCCCCCCCCCCCC,-2275114.282,-10.55482587,2.823679803,0.029125276,0.004308939,-0.028792423,0.000843281,39.89342813,43.46774124,37.28517338,38.92736977,-0.829644881,-0.704857465,1.966475158
*/C=C/CCCCCCCCCC*,-1239161.705,-9.590537114,2.718516714,0.387451433,-0.361764691,-0.014600712,-0.137955575,22.19446936,28.14663851,19.45819299,18.97857657,0.207270301,0.031731918,0.61048872
*C(C*)CCCCCCCCCCCCCC,-1655483.518,-10.58824262,3.020257475,0.005148261,0.000121886,0.003733956,-0.003542218,29.30749945,36.61336092,26.38938334,24.91975409,-0.524421582,0.079291692,-0.364670238
*C=CCCCCCC*,-826072.4276,-9.595784505,2.713776103,0.409512642,-0.398322853,0.091255705,-0.02668155,14.83881732,18.56600568,13.11064059,12.83980568,-1.062340499,0.934459864,-0.206852237
*/C=C/CCC*,-516258.4013,-9.640251953,2.574957766,0.335734012,0.233914057,-0.104779333,-0.216847487,9.270352198,10.27459625,8.248792107,9.287668237,-0.27032289,-1.13573475,0.374083242
*C(C*)C(C)(C)C,-622776.4212,-11.01557577,2.792671346,0.051128446,0.030102163,0.03099468,-0.027336927,11.07011036,11.5033606,10.96620195,10.74076851,0.442951512,-0.079802237,-0.057704357
*/C=C\CCCC*,-619530.6253,-9.632092669,2.572588205,0.32156587,0.18949236,-0.248863052,-0.074595142,10.93993952,11.66243687,11.42462557,9.732756109,-0.874654533,0.003654089,0.370848679
*C(C*)CCCCCCCCCCCCC,-1552211.087,-10.62450895,3.017311513,0.080594257,0.03205195,-0.073198655,0.010491122,27.47491225,34.505528,24.46503871,23.45417004,-0.083320525,-0.001093645,-0.457053611
*C(CC)C(CC)*,-622763.7949,-11.02598096,3.024752521,0.078783489,-0.018890017,-0.075797277,0.010236127,11.10814175,12.82059339,10.5703028,9.93352908,0.234586678,0.047039259,0.052265289
*C(C*)CCCCCCCCCCC,-1345668.273,-10.60515312,2.907248281,0.090371228,-0.04279925,-0.079490653,-0.004052068,23.72249146,28.74563752,22.24007782,20.18175904,0.431679027,-0.429386382,-0.145078766
*C(C*)CCCCCCCCC,-1139125.149,-10.57059673,3.001302454,0.058011643,0.038603305,-0.021425774,0.037630728,20.24888322,25.36806489,17.8616692,17.51691555,-0.205522391,0.166613376,0.550294472
*C(C*)C1CC(CCC1)C,-929447.736,-10.44344491,2.867125032,0.102759397,0.083909305,-0.005741624,-0.059040291,15.57418452,17.56352963,15.24699632,13.91202762,0.317314459,0.164586011,-0.199347355
