SMILES,density,Rg,r2,self-diffusion,Cp,Cv,compressibility,bulk_modulus,isentropic_compressibility,isentropic_bulk_modulus,volume_expansion,linear_expansion,static_dielectric_const,dielectric_const_dc,nematic_order_parameter,refractive_index,thermal_conductivity,thermal_diffusivity,TC_ke,TC_pe,TC_pair,TC_bond,TC_angle,TC_dihed,TC_improper,TC_kspace
*CC*,0.837971504,22.52882969,27.08426894,3.62E-12,4699.002675,4450.135691,3.74E-10,2689138059,3.54E-10,2839027343,0.00050748,0.00016916,1.003523409,2.290632128,0.035930667,1.512318548,0.456184962,1.13E-07,0.029017716,0.014002163,0.092198841,0.09861919,0.210823072,0.011510144,0,1.38E-05
*C(C*)C,0.83573244,18.30421655,18.55088582,5.47E-13,4332.492867,4168.730406,3.38E-10,2969571310,3.25E-10,3084146749,0.000387744,0.000129248,1.030295646,2.253164834,0.020613154,1.490928527,0.25877338,7.15E-08,0.014429073,0.001012995,0.076147859,0.061317137,0.102625681,0.002962036,0,0.000278598
*C(C*)CC,0.833803273,17.61029646,14.65165958,6.54E-13,4458.603276,4296.220602,4.04E-10,2500329090,3.89E-10,2594224033,0.000423072,0.000141024,1.007810074,2.184385706,0.026465546,1.475320848,0.264363289,7.11E-08,0.016967296,0.009875085,0.087928042,0.058445802,0.089040241,0.002048253,0,5.86E-05
*C(C*)CCC,0.82434244,15.69579508,12.94704948,5.38E-13,4446.7416,4305.51867,4.07E-10,2469748496,3.94E-10,2550299667,0.000396029,0.00013201,1.010688966,2.16365831,0.029700654,1.467299555,0.261130695,7.13E-08,0.017961902,0.007923648,0.079130432,0.057493941,0.092628787,0.005911058,0,8.09E-05
*C(C*)C(C)C,0.809481605,16.58024304,16.70648358,5.22E-13,4376.928225,4299.996027,4.50E-10,2309333121,4.43E-10,2354943086,0.000249562,8.32E-05,1.019560704,2.138866692,0.023789408,1.45578207,0.234342233,6.62E-08,0.013339601,0.004069765,0.082153862,0.052065727,0.0798613,0.00279525,0,5.67E-05
*C(C*)CCCC,0.825542476,15.5576579,13.92108251,5.49E-13,4465.699624,4297.699057,4.32E-10,2337311246,4.16E-10,2428120825,0.000444869,0.00014829,1.016840715,2.162925442,0.036393574,1.46495125,0.275330549,7.47E-08,0.017856745,0.00629186,0.083300791,0.065509711,0.096538407,0.005900803,0,-6.78E-05
*C(C*)CC(C)C,0.822248085,15.29672057,14.1501278,5.80E-13,4425.884896,4293.382261,4.22E-10,2395293933,4.09E-10,2467899529,0.000388881,0.000129627,1.020942443,2.156403506,0.029227026,1.461320799,0.240918065,6.62E-08,0.018853564,-0.003688727,0.078520867,0.057236447,0.087379515,0.002329927,0,0.000286473
*C(C*)CCCCC,0.826026958,14.49472356,10.04747755,7.71E-13,4541.070571,4324.49256,4.58E-10,2202142028,4.36E-10,2310005441,0.000521237,0.000173746,1.020745746,2.162116459,0.038740724,1.463341848,0.27463839,7.33E-08,0.01882515,0.009068293,0.082181631,0.061326751,0.098712637,0.004390088,0,0.000133841
*C(C*)CCC(CC)C,0.835027112,14.60740742,11.83238614,1.02E-12,4441.089472,4245.749735,4.14E-10,2434337805,3.96E-10,2544206205,0.000472028,0.000157343,1.028083314,2.162659967,0.042649623,1.46101734,0.265949678,7.17E-08,0.014163442,0.005295632,0.079202467,0.069903276,0.094936223,0.002480927,0,-3.23E-05
*C(C*)CCCCCCC,0.830236127,14.31192204,10.46866709,1.21E-12,4611.340726,4357.101696,4.45E-10,2258374812,4.21E-10,2389200601,0.000559427,0.000186476,1.013095056,2.157347686,0.049885504,1.464325512,0.3025418,7.90E-08,0.017582727,0.007467131,0.081111386,0.079321966,0.110833976,0.006141254,0,8.34E-05
*C(C*)CCCCCCCC,0.830808762,14.1552684,10.36395745,1.08E-12,4625.514085,4399.524079,4.36E-10,2299148523,4.15E-10,2416301644,0.000519833,0.000173278,1.013276198,2.142367135,0.064565391,1.459140147,0.311086292,8.10E-08,0.023078597,0.009826761,0.083917074,0.071089697,0.115433138,0.007738843,0,2.18E-06
*C(C*)(C)C,0.87060676,17.01444077,14.00852144,6.48E-13,4404.36769,4318.868107,2.45E-10,4100197687,2.41E-10,4178268424,0.000241108,8.04E-05,1.034822183,2.304667945,0.038982381,1.506599481,0.239525744,6.25E-08,0.020589152,-0.017075923,0.112475666,0.042304388,0.079505928,0.001133417,0,0.000593117
*C(C*)(CC)C,0.844525133,16.87721653,15.61259134,1.96E-13,4279.141456,4243.401701,3.13E-10,3280112964,3.10E-10,3308985097,0.000171751,5.73E-05,1.018119756,2.205070798,0.033191008,1.478831436,0.238234779,6.59E-08,0.012025136,0.00821839,0.092942033,0.046164391,0.077602188,0.001397874,0,-0.000115232
*C(CC*)(C)C,0.831834985,17.67198533,17.23556936,3.26E-13,4323.95676,4249.248601,2.76E-10,3627698508,2.71E-10,3691054311,0.000235879,7.86E-05,1.028855979,2.191077676,0.02248097,1.470448062,0.243031165,6.76E-08,0.014337769,0.002307886,0.076062906,0.060471197,0.087773634,0.002383835,0,-0.000306064
*C(C(C*)C)(C)C,0.836805812,17.17860438,14.80535013,4.12E-13,4283.919731,4202.480836,3.49E-10,2914481841,3.42E-10,2967550847,0.000270213,9.01E-05,1.022248824,2.166749933,0.022586755,1.464407834,0.236350165,6.60E-08,0.015698656,0.006996472,0.090664092,0.04802494,0.073499204,0.001615874,0,-0.000149073
*C(CCC*)(C)C,0.829420011,18.33164508,18.64411585,5.79E-13,4450.846808,4354.368612,3.01E-10,3327693368,2.94E-10,3400868702,0.000279797,9.33E-05,1.03050149,2.179656321,0.019198561,1.46599784,0.26184049,7.10E-08,0.018752758,-0.005801019,0.07849323,0.064548709,0.101384436,0.004153208,0,0.000309168
*C(CCC*)(CC)C,0.827575347,18.11387406,18.11978937,3.54E-13,4383.910692,4280.294597,3.22E-10,3127212765,3.15E-10,3201671232,0.000301817,0.000100606,1.021003701,2.152578009,0.03509224,1.459990507,0.255337725,7.04E-08,0.011741863,0.004886449,0.077046343,0.063239475,0.096301413,0.002005151,0,0.000117032
*C(CCCCCCC*)C,0.838285169,20.46167604,23.71371486,1.56E-12,4839.385352,4427.334648,4.15E-10,2534166723,3.76E-10,2734915274,0.000671514,0.000223838,1.02774009,2.183088211,0.047379353,1.468109415,0.335492597,8.34E-08,0.019904291,0.008703336,0.077614017,0.084690276,0.137610741,0.006661517,0,0.000308419
*C(C*)C1CC1,0.894720922,16.56057365,15.85735944,6.32E-13,4111.184311,3984.693072,4.26E-10,2410150327,4.12E-10,2481085867,0.000371071,0.00012369,1.042621428,2.273769698,0.023551953,1.493700097,0.241876535,6.58E-08,0.008732976,0.01732917,0.068980104,0.059225299,0.085101722,0.001430721,0,0.001076542
*C(C*)C1CCC1,0.890516521,16.09859299,15.81224748,6.06E-13,4151.097474,4022.895883,3.65E-10,2798250965,3.54E-10,2885327647,0.000370949,0.00012365,1.013355087,2.208621508,0.027102124,1.481642147,0.225308463,6.10E-08,0.012894047,0.011799323,0.069524499,0.045481431,0.084361319,0.001279208,0,-3.14E-05
*C(C*)C1CCCC1,0.896070041,15.28079947,12.63728435,4.94E-13,4198.195815,4111.156225,3.30E-10,3043772220,3.23E-10,3107893032,0.000291416,9.71E-05,1.006402354,2.201696428,0.027039511,1.481649535,0.231107263,6.16E-08,0.006728094,0.004665576,0.069494016,0.062038257,0.087084457,0.001118629,0,-2.18E-05
*C(C*)CC1CCCC1,0.89707436,15.23433651,13.14862156,5.15E-13,4156.090264,4078.619649,3.69E-10,2825329841,3.63E-10,2884036344,0.000275293,9.18E-05,1.010399961,2.21570038,0.036023326,1.485024578,0.258406248,6.93E-08,0.015352909,0.006809242,0.075275105,0.061111722,0.096148078,0.003664207,0,4.50E-05
*C(C*)C1CCCCC1,0.852752091,15.42436826,14.40806376,4.30E-13,4199.457496,4174.333877,4.27E-10,2412054197,4.25E-10,2427625278,0.000130214,4.34E-05,1.003064534,2.117667439,0.043375273,1.454163567,0.209246003,5.85E-08,0.005264332,-0.000543252,0.054039721,0.067298432,0.079551794,0.003632646,0,2.33E-06
*C(C*)CC1CCCCC1,0.876520821,14.56179057,12.10336115,5.64E-13,4260.94911,4223.491277,3.49E-10,2896569303,3.46E-10,2924871338,0.000165731,5.52E-05,1.007604845,2.173289093,0.049382101,1.47162608,0.229332958,6.16E-08,0.010203505,0.003537484,0.065899258,0.060477173,0.085653542,0.003562899,0,-9.03E-07
*C(C*)Cc1ccccc1,1.008541193,15.68836024,14.80317646,5.42E-13,3473.43289,3400.799038,3.01E-10,3331812645,2.95E-10,3403524273,0.000266985,8.90E-05,1.033550671,2.530531309,0.041891482,1.580182329,0.192462189,5.50E-08,0.0100151,0.006602471,0.058311547,0.042969145,0.051975867,0.021970269,0.000208351,0.000409439
*C(C*)CCc1ccccc1,1.000097037,14.96591592,10.90776144,1.17E-12,3675.827892,3552.159738,3.11E-10,3247849786,3.00E-10,3358216078,0.000355548,0.000118516,1.035046789,2.510399305,0.043429221,1.573324969,0.213754837,5.82E-08,0.010324176,0.015712245,0.069688974,0.033227556,0.062249073,0.022068075,0.000267085,0.000217652
