SMILES,Dielectric_Constant_Electronic,Dielectric_Constant_Ionic,Dielectric_Constant_Total
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,6.66,1.03,7.69
*Nc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,6.16,1.21,7.38
*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,6.51,0.804,7.31
*C(=O)Nc1ccc(-c2ccc(*)s2)s1,5.73,1.2,6.92
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)s1,6.23,0.625,6.85
*NC(=S)c1ccc(-c2ccc(*)cc2)s1,6.15,0.692,6.84
*OC(=S)C(*)=O,5.29,1.53,6.82
*Nc1ccc(C(*)=S)cc1,5.4,1.33,6.73
*C(=O)C(=S)C(=O)c1ccc(*)s1,5.54,1.15,6.69
*c1ccc(C(=S)c2ccc(-c3ccc(*)cc3)s2)cc1,6.26,0.403,6.67
*C(=O)C(=S)c1ccc(-c2ccc(*)s2)s1,5.67,0.925,6.59
*NC(=O)C(=S)C(*)=O,5.12,1.46,6.58
*C(=S)NC(=S)c1ccc(*)s1,5.54,0.944,6.48
*Nc1ccc(C(=S)c2ccc(*)cc2)s1,5.29,1.19,6.48
*Nc1ccc(C(=S)c2ccc(*)s2)s1,5.25,1.21,6.46
*c1ccc(C2CC(*)SS2)s1,6,0.42,6.42
*C(=O)C(=S)Oc1ccc(*)s1,5.35,0.972,6.32
*C(=S)OC(=S)c1ccc(*)s1,5.28,0.95,6.23
*NCC(=S)c1ccc(*)s1,5.07,1.15,6.22
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,5.57,0.645,6.22
*NC(=S)C(=O)c1ccc(*)cc1,4.91,1.3,6.21
*CC(=O)C(=S)C(*)=O,4.8,1.38,6.18
*C(=S)C(=O)Nc1ccc(*)cc1,4.72,1.45,6.17
*C(=S)c1ccc(C(=O)c2ccc(*)s2)s1,5.28,0.861,6.14
*CC(=O)c1ccc(C(=S)N*)s1,4.98,1.14,6.12
*Nc1ccc(C(=O)c2ccc(*)s2)cc1,4.78,1.32,6.1
*NONC(*)=S,4.27,1.8,6.08
*NC(*)=S,5.08,0.978,6.05
*C(=S)C(=O)c1ccc(-c2ccc(*)cc2)s1,5.19,0.827,6.02
*NC(=S)NC(*)=O,4.42,1.58,6
*Nc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,5.47,0.509,5.98
*Nc1ccc(-c2ccc(C(*)=O)s2)cc1,5.08,0.894,5.97
*OC(=S)NC(*)=S,4.65,1.32,5.97
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.38,0.564,5.94
*C(=S)Oc1ccc(-c2ccc(*)s2)s1,4.98,0.937,5.92
*Nc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.5,0.413,5.91
*C(=S)C(=O)c1ccc(-c2ccc(*)s2)cc1,5.03,0.817,5.85
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.26,0.557,5.81
*ONC(=O)C(*)=S,4.48,1.31,5.79
*ONC(=S)C(*)=O,4.56,1.18,5.74
*CC(=S)NC(*)=S,4.2,1.53,5.73
*NC(=S)Nc1ccc(*)s1,4.8,0.924,5.72
*c1ccc2nc(*)sc2c1,5.46,0.253,5.71
*c1ccc(-c2ccc(*)s2)cc1,5.565,0.1265,5.69
*c1nc2cc3oc(*)nc3cc2o1,5.42,0.267,5.69
*NC(=S)Nc1ccc(*)cc1,4.39,1.29,5.67
*C(=S)C(=O)Oc1ccc(*)cc1,4.04,1.63,5.67
*CC1SSC(*)C1=O,4.82,0.818,5.64
*C(=S)NOc1ccc(*)s1,4.58,1.05,5.63
*c1ccc(Oc2ccc(*)s2)s1,5.17,0.452,5.62
*C(=O)OC(=S)c1ccc(*)s1,4.28,1.34,5.62
*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)cc1,4.9,0.672,5.57
*C(=S)COc1ccc(*)s1,4.67,0.874,5.55
*OC(=O)C(=S)c1ccc(*)s1,4.39,1.15,5.54
*OC(=S)NC(*)=O,3.79,1.74,5.54
*Oc1ccc(C(=O)c2ccc(*)s2)s1,4.17,1.35,5.53
*NCC(=S)c1ccc(*)cc1,4.55,0.964,5.51
*C(=O)NC(=O)c1ccc(*)cc1,3.915,1.595,5.51
*OC(=O)c1ccc(C(*)=S)cc1,4.16,1.34,5.5
*NC(=O)c1ccc(-c2ccc(*)s2)cc1,4.54,0.95,5.49
*C(=O)Oc1ccc(-c2ccc(*)s2)cc1,4.55,0.936,5.49
*Oc1ccc(-c2ccc(C(*)=S)s2)cc1,4.9,0.586,5.48
*NC(*)=O,3.51,1.96,5.47
*Nc1ccc(*)cc1,4.51,0.959,5.47
*NC(=S)c1ccc(-c2ccc(*)s2)cc1,4.85,0.616,5.47
*OC(=O)c1ccc(-c2ccc(*)s2)s1,4.21,1.24,5.45
*SC(=S)c1ccc(C(=S)OC(=S)c2ccc(C(*)=O)cc2)cc1,4.66,0.762,5.42
*NCC(=O)c1ccc(*)s1,4.08,1.34,5.42
*CC(=S)C(=O)N*,3.99,1.4,5.39
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)cc2)cc1,5.28,0.11,5.39
*CC(=O)c1ccc(C(=O)N*)s1,4.14,1.24,5.38
*C(=O)OC(=O)c1ccc(*)cc1,3.49,1.86,5.35
*C(=S)Cc1ccc(-c2ccc(*)s2)s1,4.82,0.526,5.35
*Oc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,4.78,0.525,5.31
*C(=O)c1ccc(*)s1,4.36,0.908,5.27
*OC(=S)C(=O)c1ccc(*)cc1,4.31,0.932,5.24
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,4.63,0.6,5.23
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)s1,4.72,0.499,5.21
*CC(=O)C(=S)N*,4.09,1.11,5.2
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,4.51,0.6,5.11
*C(=S)NC(=O)c1ccc(*)cc1,3.88,1.22,5.1
*OC(=S)Nc1ccc(*)s1,4.16,0.879,5.04
*C(=O)C(=S)C(=O)c1ccc(*)cc1,4.41,0.621,5.03
*c1ccc(Oc2ccc(-c3ccc(*)cc3)s2)cc1,4.64,0.387,5.02
*C(=S)c1ccc(Oc2ccc(*)cc2)cc1,4.35,0.643,5
*Nc1ccc(Nc2ccc(*)s2)cc1,3.96,1.04,4.99
*NCC(=O)c1ccc(*)cc1,3.91,1.06,4.97
*C(=O)c1ccc(C(=S)c2ccc(*)cc2)cc1,4.5,0.458,4.96
*CC(=S)NO*,3.78,1.16,4.94
*NC(=O)Nc1ccc(*)s1,4.03,0.897,4.93
*CCC(=S)C(*)=O,3.85,1.07,4.93
*C(=O)NOc1ccc(*)s1,3.87,1.04,4.91
*NC(=O)Nc1ccc(*)cc1,3.89,1.02,4.91
*Oc1ccc(C(=S)c2ccc(*)s2)s1,4.23,0.662,4.9
*Oc1ccc(-c2ccc(*)s2)cc1,4.52,0.371,4.89
*CNC(=S)N*,3.49,1.4,4.89
*NC(=O)c1ccc(-c2ccc(*)cc2)cc1,4.33,0.555,4.89
*CC(=S)c1ccc(-c2ccc(*)s2)cc1,4.4,0.472,4.88
*CC(=O)c1ccc(N*)cc1,3.82,1.05,4.87
*CC(=O)c1ccc(-c2ccc(*)s2)s1,4.28,0.581,4.86
*C(=O)CNc1ccc(*)cc1,3.8,1.04,4.84
*OC(=O)c1ccc(-c2ccc(*)s2)cc1,3.91,0.927,4.84
*C(=S)Nc1ccc(-c2ccc(*)cc2)cc1,4.41,0.419,4.83
*C(=O)c1ccc(C(=O)c2ccc(*)s2)cc1,4.01,0.818,4.83
*C(=O)c1ccc(Oc2ccc(*)s2)cc1,4.01,0.805,4.82
*CC(=O)C(=S)c1ccc(*)s1,4.21,0.603,4.82
*COC(=O)C(*)=S,3.69,1.11,4.8
*c1ccc2nc(*)oc2c1,4.48,0.317,4.8
*ONOC(*)=S,3.77,1.02,4.79
*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,4.4,0.372,4.77
*Nc1ccc(Cc2ccc(NC(=S)Nc3ccc(NC(=S)Nc4ccc(Cc5ccc(NC(=S)Nc6ccc(NC(*)=S)cc6)cc5)cc4)cc3)cc2)cc1,4.08,0.686,4.76
*ONc1ccc(C(*)=O)cc1,3.61,1.15,4.76
*Cc1ccc(C(=O)c2ccc(*)s2)s1,4.09,0.667,4.75
*C(=O)Cc1ccc(-c2ccc(*)cc2)s1,4.21,0.542,4.75
*COC(=S)C(*)=O,3.94,0.799,4.74
*OC(=O)Nc1ccc(*)cc1,3.54,1.2,4.73
*OCc1ccc(C(*)=S)s1,4.09,0.642,4.73
*CC(=O)c1ccc(-c2ccc(*)cc2)s1,4.07,0.65,4.72
*CCC(=O)c1ccc(*)cc1,3.33,1.39,4.72
*C(=S)C(=O)Cc1ccc(*)cc1,4.12,0.586,4.71
*OC(*)=O,2.69,1.96,4.64
*C(=O)CC(=S)c1ccc(*)s1,3.96,0.6835,4.645
*Oc1ccc(NC(=S)Nc2ccc(NC(=S)Nc3ccc(*)cc3)cc2)cc1,3.82,0.822,4.64
*Cc1ccc(NC(=S)Nc2ccc(NC(=S)Nc3ccc(*)cc3)cc2)cc1,3.94,0.693,4.63
*C(=O)OC(=O)c1ccc(*)s1,3.54,1.08,4.62
*CC(=S)c1ccc(-c2ccc(*)cc2)s1,4.33,0.28,4.61
*NONC(*)=O,3.52,1.09,4.6
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,4.32,0.272,4.59
*C(=O)c1ccc(*)cc1,3.94,0.644,4.58
*C(=S)Oc1ccc(-c2ccc(*)cc2)cc1,4.18,0.394,4.58
*ONC(=S)c1ccc(*)cc1,3.94,0.633,4.58
