SMILES,Atomization_Energy_eV,Bandgap_Bulk_eV,Bandgap_Chain_eV
*CCCCCC[CH3](*)(C)C,,,0.0205
*C=C(*)c1cccc(C#C)c1,,,0.069
*c1cc2c(s1)-c1sc(*)cc1C2(CCCCCC)CCCCCC[CH3](C)(C)C,,,0.0751
*CCCCCCCC[CH3](C)(C)CCCCCC[CH3](*)(C)C,,,0.1032
*CS(=O)(=O)C1CC(*)C[CH3](C)(C)C1,,,0.1093
*C=C(*)c1ccccc1,,,0.1289
*C=C(*)c1ccc2ccc3cccc4ccc1c2c34,,,0.1296
*CCCCCCCCCCCCCCCC[CH3](C)(C)CCCCCC[CH3](*)(C)C,,,0.1771
*CCCCCC[CH3](C)(C)CCC[CH3](*)(C)C,,,0.2161
*C=C(*)c1ccc(NC=O)cc1,,,0.2219
*C=C(*)c1ccc(C#C)cc1,,,0.2378
*C=C(*)c1ccc(N)cc1,,,0.2588
*C=C(*)c1cccc(Br)c1,,,0.2843
*c1ccc(*)n1Cc1ccc[CH3](C)c1,,,0.2844
*C=c1ccc(=c2ccc(=Cc3ccc(*)s3)s2)s1,,1.224,0.2908
*C=C(*)c1cccc[CH3]1CC#C,,,0.3201
*c1sc(*)c2nc(CCCCCC)c(CCCCCC)nc12,,,0.3579
*c1sc(*)c2nc(CCCCCCCCCCC)c(CCCCCCCCCCC)nc12,,,0.4779
*CC(*)c1cc[CH3](CCCC)cc1,,,0.5958
*c1cc2c(s1)-c1sc(*)cc1C2=C(C#N)C#N,,,0.6839
*C=C(*)c1cccc([CH3](C)(C)C)c1,,,0.7366
*C#CC(=C(*)c1cnc2ccccc2c1)c1cnc2ccccc2c1,,0.5725,0.7739
*C=C(*)c1ccc([CH3](=O)[CH3])cc1,,,0.7984
*C=CC=CC=CC=C(*)CCS(=O)(=O)O,,,0.8077
*C=c1ccc(=c2ccc(=Cc3ccc(-c4ccc(*)s4)s3)s2)s1,,,0.8337
*C=Cc1ccc(*)[CH3](C)c1,,,0.8346
*C=C(*)c1cccc(C#C)n1,,,0.835
*C=C(*)C#N,,0.5068,0.838
*C=C(*)F,,0.3906,0.8441
*C=C(*)c1cccc(Cl)c1,,,0.8655
*C=C(*)c1cccc2ccccc12,,,0.8664
*C#CC(=C(*)c1ccccc1)c1ccccc1,,,0.8829
*c1ccc(-n2c(=O)c3ccc4c5cc6c(*)ccc6n5c(=O)c-4cc3c2=O)cc1C,,,0.896
*Oc1ccc(C(=Nc2ccc(N=C(c3ccccc3)c3ccc(On4c(=O)c5c(F)c6c(=O)n(*)c(=O)c6c(F)c5c4=O)cc3)cc2)c2ccccc2)cc1,,,0.9593
*c1cc2c(s1)-c1sc(-c3sc(-c4sc(*)c5c4OCCO5)c4c3OCCO4)cc1C2=C(C#N)C#N,,,0.9952
