psmiles,Energy_Hatree,es,Isotropic_Polarizability_au,HOMO_eV,LUMO_eV,Inner_energy_correction_Hatree,Thermal_correction_to_Enthalpy_Hatree,Thermal_correction_to_Gibbs_Free_Energy_Hatree,Entropy_Hatree,Dipole_Debye,Gibbs_Free_Energy_Hatree,Enthalpy_Hatree,HOMO_LUMO_Gap_eV
*Nc1ccc(Nc2ccc(NC(=O)Cc3c4ccccc4c(CC(*)=O)c4ccccc34)cc2S(=O)(=O)O)cc1,,0.952904,,,,0.53095992,0.00094421,0.436205,0.09569914,4.838042051,0.436205,0.53190413,
*Nc1ccc(F)c(C(=O)O)c1NC(=O)c1ccccc1C(=O)NC(C(*)=O)c1ccccc1,-1527.685874,0.99591404,293.10169,-8.2405,0.2541,0.405431,0.00094421,0.3239665,0.08240872,1.743608659,-1527.361908,-1527.279499,8.4946
*NCC(NC(=O)CC(CC(*)=O)c1ccncc1)C(=O)O,-970.840013,0.8917993,181.5329,-9.882,0.119,0.31911731,0.00094421,0.25126876,0.06879276,1.596282295,-970.5887442,-970.5199515,10.001
*Nc1cc(Br)cc(C(=O)O)c1NC(=O)CN(CC(*)=O)N=Cc1ccccc1OC,,0.99114406,,,,,,,,,,,
*Nc1cc(C(=O)O)ccc1S(=O)(=O)NC(=O)C1CCC(C(*)=O)N(Cc2ccccc2)C1,-1827.97729,0.9984452,301.61583,-8.8482,-0.2344,0.45512169,0.00094421,0.37202991,0.08403599,4.909436123,-1827.605261,-1827.521225,8.6138
*Nc1cc(C(=O)O)cc(NC(=O)CCN(CCC(*)=O)c2ccccc2)c1CC,-1280.500586,0.9994735,292.59032,-8.0035,0.0994,0.46389332,0.00094421,0.38064653,0.084191,6.016186403,-1280.11994,-1280.035749,8.1029
*Nc1ccc2cc(S(=O)(=O)O)ccc2c1NC(=O)CCCCCCCSc1ccccc1C(*)=O,-2251.591264,0.9713746,374.02025,-8.2715,-0.1639,0.53008475,0.00094421,0.43684529,0.09418366,8.664061321,-2251.154418,-2251.060235,8.1076
*Nc1cc(C(=O)O)cc(NC(=O)CN(CC(*)=O)C(=O)COC)c1Cl,-1619.036902,0.9994461,228.76321,-8.5663,0.1436,0.32750625,0.00094421,0.25088671,0.07756374,7.695874228,-1618.786015,-1618.708452,8.7099
*Nc1c(Br)ccc(CC(=O)O)c1NC(=O)CSc1cc(C(F)(F)F)cc(SCC(*)=O)n1,-4830.236365,0.96395,318.6765,-8.4042,0.0561,0.34864662,0.00094421,0.26004423,0.0895466,3.714907834,-4829.976321,-4829.886774,8.4603
*Nc1ccc(F)c(C(=O)O)c1NC(=O)c1nn(C)nc1C(*)=O,-1137.924143,0.99653685,199.74114,-8.3931,-0.178,0.9889683399999999,0.00094421,0.18254683,0.06516014,4.178268412,-1137.741596,-1136.93423,8.2151
*Nc1c(F)ccc(C(=O)O)c1NC(=O)c1cc(C(*)=O)cc(C(N)=S)c1,-1580.263407,0.9862445,258.13679,-8.7199,-0.6151,0.28794877,0.00094421,0.21511572,0.07377726,6.10242085,-1580.048292,-1579.974514,8.1048
*Nc1cc(NC(=O)C(CSSCC(NC(=O)c2ccccc2)C(*)=O)NC(=O)c2ccccc2)c(Br)c(C(=O)O)c1,-5084.866028,0.6531269,426.68781,-8.5478,-0.0033,0.52966645,0.00094421,0.42500349,0.10560718,8.778881684,-5084.441025,-5084.335417,8.5445
*Nc1cc(OC)c(C(=O)O)cc1NC(=O)CC(NC(=O)c1ccccc1Cl)C(*)=O,-1810.796814,0.999049,291.25686,-8.5255,-0.0331,0.38393282,0.00094421,0.3011457,0.08373133,7.432431129,-1810.495669,-1810.411937,8.4924
*NCC(NC(=O)c1ccccc1NN=Cc1ccc(C=NNc2ccccc2C(*)=O)cc1)C(=O)O,-1596.548794,0.8092383,384.10162,-8.1175,-0.351,0.49632773,0.00094421,0.40561728,0.09165466,5.140619861,-1596.143176,-1596.051522,7.7665
*Nc1cc(Cl)c(S(=O)(=O)NC(=O)c2cccc(NC(=O)c3ccccc3Br)c2C(*)=O)cc1C(=O)O,-4970.786133,0.9869795,371.45132,-9.1135,-0.5899,0.37957258,0.00094421,0.28761204,0.09290476,5.317641662,-4970.498521,-4970.405616,8.5236
*Nc1ccc(C(=O)O)cc1NC(=O)CC(CC(*)=O)c1occc1C,-1144.362107,0.99738365,231.63016,-8.3274,0.2425,1.0635302,0.00094421,0.28318665,0.07162748,2.636475367,-1144.078921,-1143.297633,8.5699
*Nc1c(C(=O)O)cc(Cl)c(F)c1NC(=O)c1[nH]c(=O)[nH]c1C(*)=O,-1617.462912,0.9841851,214.92728,-8.9062,-0.7256,0.22771222,0.00094421,0.15903184,0.06962459,4.695491318,-1617.30388,-1617.234256,8.1806
*Nc1ccc(NC(=O)c2cccc(C(*)=O)c2C(=O)C(C)Cl)c(C(=O)O)c1,-1640.890036,0.9973477,270.02756,-8.1436,-0.3895,0.32996512,0.00094421,0.25450187,0.07640746,7.777126602,-1640.635535,-1640.559127,7.7541
*Nc1cc(C#N)c(NC(=O)c2cccc(CSCc3cccc(C(*)=O)c3)c2)cc1C(=O)O,-1789.460419,0.9948454,333.08221,-8.1263,-0.5186,0.41538287,0.00094421,0.33171882,0.08460826,1.660603228,-1789.1287,-1789.044092,7.6077
*Nc1cc(C(=O)O)cc(NC(=O)CN(CC(*)=O)NC(=O)CC(C)(C)C)c1C(F)(F)F,-1594.594566,0.99603146,265.43923,-8.7661,-0.2027,0.44399062,0.00094421,0.355534,0.08940084,6.88143599,-1594.239032,-1594.149631,8.5634
*Nc1cc(F)cc(C(=O)O)c1NC(=O)c1cc(C(*)=O)cc(S(=O)(=O)Cl)c1,-2096.860415,0.998242,257.46428,-8.6309,-0.909,0.26611564,0.00094421,0.19210042,0.07495943,3.336686366,-2096.668315,-2096.593355,7.7219
*Nc1ccnc(NC(=O)CCC(NC(=O)Cc2ccccc2)C(*)=O)c1C(=O)O,-1331.337288,0.99731654,273.76352,-8.8272,0.1167,0.80686578,0.00094421,0.32306032,0.08082376,5.919366801,-1331.014228,-1330.529478,8.9439
*Nc1c(Br)ccc(C(=O)O)c1NC(=O)CNc1ncccc1C(*)=O,-3673.472517,0.9990508,247.49851,-8.4623,-0.5367,0.2950552,0.00094421,0.22397003,0.07202939,2.976313275,-3673.248547,-3673.176517,7.9256
*Nc1ccc(NC(=O)c2cccc(C(*)=O)c2C(=O)CCBr)c(C(=O)O)c1C,-3794.015132,0.99603146,283.80156,-8.0554,-0.4145,0.35913442,0.00094421,0.28119036,0.07888827,4.467543616,-3793.733942,-3793.655054,7.6409
*Nc1cc(Cl)c(C(=O)O)cc1NC(=O)CC(CC(*)=O)CC(C)(C)C,,0.9989034,,,,,,,,,,,
*Nc1c(Cl)ccc(C(=O)O)c1NC(=O)c1cc(NC(=O)c2ccccc2C(*)=O)ccc1Cl,-2308.304609,0.99889696,342.85668,-8.3735,-0.3458,0.36642371,0.00094421,0.28179616,0.08557176,8.162666317,-2308.022813,-2307.937241,8.0277
*Nc1cc(C(=O)O)cc(NC(=O)CN(CC(*)=O)C(=O)c2cccc(F)c2)c1C#N,-1428.194346,0.9992372,270.50292,-8.7885,-0.4671,0.34948774,0.00094421,0.26955904,0.08087291,0.990300919,-1427.924787,-1427.843914,8.3214
*Nc1ccc(C(=O)O)c(NC(=O)CC2(C(*)=O)CCOCC2)c1F,-1167.419687,0.9982692,212.68228,-8.7374,0.1818,0.33621325,0.00094421,0.26736552,0.06979194,4.813217547,-1167.152321,-1167.082529,8.9192
*Nc1ccc(C)c(NC(=O)CCC(=O)Nc2cccc3c(NC(=O)CCC(*)=O)cccc23)c1C(=O)O,-1676.958572,0.9756467,381.37072,-7.8266,0.2536,0.52501552,0.00094421,0.4273232,0.09863653,2.104093261,-1676.531249,-1676.432612,8.0802
*Nc1c(C(=O)O)ccc(C#N)c1NC(=O)C1CCC(C(*)=O)S1,-1404.756836,0.81334037,210.92976,-9.0137,-0.7226,0.28137347,0.00094421,0.21409045,0.06822723,7.229670585,-1404.542746,-1404.474518,8.2911
*Nc1cccc2c(S(=O)(=O)O)ccc(NC(=O)CN(CC(*)=O)N=Cc3ccccc3OCc3ccccc3)c12,,0.96565753,,,,0.54012566,0.00094421,0.44435127,0.0967186,10.13840688,0.44435127,0.54106987,
