smiles_list,density,Rg,Scaled Rg,Cp,Cv,bulk_modulus,isentropic_bulk_modulus,r2,static_dielectric_const,dielectric_const_dc,nematic_order_parameter,refractive_index
*Cc1cccc(*)c1,1.078854598,19.30744469,0.096202869,3260.193485,3125.988396,3611222037,3766219534,14.85267442,1.043618753,2.731759322,0.028396178,1.639554991
*c1cccc(C(*)C)c1,1.014539276,17.00965157,0.087790846,3603.762801,3328.513568,2433622237,2634735126,18.59436106,1.02745019,2.56066393,0.030101372,1.591607282
*Cc1cc(C)c(C)cc1*,0.963577403,14.84569675,0.078922795,3360.556015,3259.932229,2739257869,2823823261,10.61719884,1.036183408,2.476921783,0.026498255,1.562286265
*CCc1ccc(C)cc1CC*,0.971526962,17.4840913,0.09572904,3888.838164,3658.54391,3266808809,3472342221,19.44208026,1.026845452,2.472980439,0.054810035,1.564012464
*c1ccc(C(*)C)cc1C,0.945512383,20.19733896,0.107373232,3565.382303,3516.739042,2852862942,2892336707,24.2868295,1.026701446,2.42111452,0.024640491,1.547389115
*c1ccc(C(*)C)cc1Br,1.448042014,21.33790895,0.07861191,1804.642663,1779.563056,2168872465,2199390700,24.46125159,1.097957666,2.584311835,0.022997032,1.576817735
*c1ccc(C(*)C)cc1Cl,1.140980781,21.69988791,0.094419114,2529.591998,2484.104127,2954314823,3008398847,29.5490387,1.107371334,2.576078266,0.032818508,1.571211931
*Cc1cc(CC)c(C)cc1*,0.952786181,15.53224317,0.084186457,3674.148252,3598.816015,2401570028,2451845050,15.12778689,1.031185804,2.440350718,0.041360772,1.552148484
*CCc1ccc(C(*)C)cc1,0.982655108,20.82931235,0.112897151,3619.401417,3529.427456,2848993321,2921493953,29.52689101,1.025575734,2.509616026,0.039232486,1.576083847
*Cc1ccc(*)c2ccccc12,1.075419231,18.69226559,0.089735922,3059.317307,3015.813848,2691544789,2730330035,16.26172133,1.037711291,2.808617785,0.030126871,1.664604005
*c1ccc(C(*)C)cc1C#N,1.017726666,19.68475258,0.092971206,2957.446224,2928.783209,2650119686,2676442258,21.19146847,1.377594131,2.817107521,0.028799981,1.561894167
*CCc1cc(CC)c(C)cc1*,0.952915116,16.5877991,0.090821654,3817.969573,3575.680069,2125921089,2269731792,19.05583767,1.031239161,2.43667115,0.081723924,1.550945515
*CCc1ccc2cc(*)ccc2c1,1.077102398,22.46385441,0.111060389,3254.699016,3160.587708,3390554462,3491458037,33.55858384,1.034526296,2.849042692,0.045791794,1.677652049
*C1C(=O)N(c2ccc(C(=O)OC)cc2C)C(=O)C1*,1.141922921,15.78303986,0.069922483,2716.087435,2672.199611,1916526895,1948046195,18.34044516,1.503868939,2.782169625,0.102311051,1.509404083
*C1C(=O)N(c2ccc(/N=N/c3ccc([N+](=O)[O-])cc3)cc2)C(=O)C1*,1.235472737,15.04863064,0.062270327,2504.237849,2467.918105,2166519328,2198590411,9.511446798,1.422065396,3.245135439,0.072228646,1.680199406
*Oc1ccc2c(c1)C(=O)N(*)C2=O,1.365029926,23.46637688,0.08988778,2345.120448,2313.484813,4298803753,4357559342,15.65262324,1.434803338,3.007799506,0.035190036,1.604056161
*CCOc1ccc2c(c1)C(=O)N(*)C2=O,1.299545851,17.45908729,0.074434052,2573.885296,2552.455935,4435751732,4473009583,7.927056992,1.42003727,3.039734606,0.057321653,1.61854791
*Oc1ccc(C(=O)N(C(=O)c2ccc(*)cc2)c2ccccc2)cc1,1.167142734,23.60188825,0.103264789,2721.530566,2658.778687,2943120785,3012608993,47.08507093,1.234902653,2.823905408,0.032806245,1.609037835
*COc1ccc(C(=O)N(C(=O)c2ccc(O*)cc2)c2ccccc2)cc1,1.182796173,22.10823075,0.098293525,2944.403275,2933.013175,3071919656,3083874600,25.76315843,1.247478905,2.849724286,0.035657101,1.613147663
*Oc1ccc2c(c1)C(=O)N(c1cccc(Oc3ccc(*)cc3)c1)C2=O,1.258151105,24.38572232,0.101725227,2790.924067,2580.673065,2411436479,2607498055,29.90746611,1.198948935,2.936182577,0.073090442,1.654458716
*CCCOc1ccc(C(=O)N(C(=O)c2ccc(O*)cc2)c2ccccc2)cc1,1.157473283,21.51215724,0.098865529,3218.73242,3043.67407,2804226596,2965426412,25.72830011,1.2048328,2.796276713,0.039172925,1.609796233
*CC(O)COc1ccc2ccc(Oc3ccc4c(c3)C(=O)N(*)C4=O)cc2c1,1.268391055,22.52013628,0.097450335,2697.955203,2625.306856,4455590041,4578705038,30.03105919,1.4506342,3.277686446,0.05515699,1.681384027
*Oc1ccc(Oc2ccc3c(c2)C(=O)N(c2cc(*)cc(C)c2)C3=O)cc1,1.230151431,22.64587956,0.098600881,2627.235163,2583.65348,3663985914,3725813754,24.56444018,1.170463676,2.883862505,0.037009918,1.647239761
*Oc1ccc(C(=O)N(C(=O)c2ccc(*)cc2)c2cc(C)cc(C)c2)cc1,1.111356514,21.07288018,0.096434059,3017.840524,2877.225508,2622120677,2750249186,23.80264144,1.239323641,2.750532529,0.048602213,1.584679427
*Oc1ccc(C(=O)N(C(=O)c2ccc(*)cc2)c2cccc3ccccc23)cc1,1.146077293,22.10664575,0.097477163,2683.594311,2623.160349,2259747299,2311815921,24.76988488,1.296120608,2.864025183,0.038089747,1.602468276
*CCOCCOc1ccc(C(=O)N(C(=O)c2ccc(O*)cc2)c2ccccc2)cc1,1.177739451,19.65720576,0.091576894,3006.46651,2812.510592,2868920834,3066142256,27.33994506,1.45603467,3.023547059,0.026071483,1.602345902
*Oc1ccc(Oc2ccc3c(c2)C(=O)N(c2cc(*)cc(C)c2)C3=O)cc1C,1.176128289,21.17071395,0.092220945,2708.945971,2649.356743,3097850209,3167494520,24.85130412,1.168894716,2.77962168,0.056265151,1.615774416
*C(=O)Oc1ccc(Oc2ccc3c(c2)C(=O)N(c2cccc(*)c2)C3=O)cc1,1.278659079,24.63853288,0.102318382,2514.276509,2462.673839,3827420933,3907569371,34.56612439,1.331070826,3.081475856,0.055533965,1.658434512
*Oc1ccc2c(c1)C(=O)N(c1ccc(C(C)(C)c3ccc(*)o3)cc1)C2=O,1.187331106,18.05370823,0.080267057,2726.831263,2683.059418,3593175069,3651804638,14.96343976,1.199389892,2.786188593,0.054366451,1.608352791
*c1ccc(-c2cnc3ccc(Oc4ccc5c(c4)C(=O)N(*)C5=O)cc3n2)cc1,1.241977062,28.39738362,0.119133478,2495.729894,2465.984522,3832115790,3878327041,33.11904487,1.166544745,3.147739391,0.081140767,1.726613635
*CCOc1ccc(C(=O)N(C(=O)c2ccc(O*)cc2)c2cc(C)cc(C)c2)cc1,1.127726569,19.85816609,0.09191631,3004.406209,2876.223911,2768149389,2891332909,22.30482252,1.265023994,2.815213888,0.028678678,1.5969314
*Oc1ccc2ccc(Oc3ccc4c(c3)C(=O)N(c3cccc(*)c3)C4=O)cc2c1,1.259975053,22.96957213,0.096544717,2607.023581,2515.511234,3559107424,3688566402,21.04253119,1.181693991,3.10372171,0.039723086,1.709393963
